Subfolder,DealNumber,Dealer,AuctionSig,NorthHand,SouthHand,EastHand,WestHand,attempts
Partnership-Blackwood,2,S,2C Pass 2H Pass 4NT Pass 5D Pass 6H Pass Pass Pass,S:J3 H:AQT86 D:T3 C:JT74,S:A64 H:KJ9 D:AKQJ9 C:KQ,S:K9875 H:74 D:7654 C:A6,S:QT2 H:532 D:82 C:98532,1
Partnership-Blackwood,20,S,1S Pass 2H Pass 3H Pass 4NT Pass 5H Pass 6H Pass Pass Pass,S:K4 H:KQT95 D:A76 C:A54,S:AQJ73 H:AJ86 D:53 C:87,S:T96 H:72 D:Q984 C:KQT2,S:852 H:43 D:KJT2 C:J963,2
Partnership-Blackwood,21,N,1C Pass 1H Pass 3H Pass 4NT Pass 5D Pass 5NT Pass 7H Pass Pass Pass,S:A62 H:KQJ7 D:6 C:KQJT9,S:K53 H:AT952 D:A94 C:A4,S:874 H:83 D:KJT72 C:762,S:QJT9 H:64 D:Q853 C:853,14
Partnership-Blackwood,22,S,1H Pass 3H Pass 4NT Pass 5D Pass 5H Pass Pass Pass,S:87 H:Q974 D:KQ5 C:AT83,S:AKQ5 H:AJ652 D:6 C:KQJ,S:JT62 H:T8 D:A743 C:754,S:943 H:K3 D:JT982 C:962,1
Partnership-Blackwood,23,N,1D Pass 1H Pass 2NT Pass 4C Pass 4NT Pass 5C Pass 5H Pass 7NT Pass Pass Pass,S:AJ6 H:K5 D:AQ62 C:A974,S:K42 H:AQJ8742 D:K C:K3,S:QT98 H:T9 D:J874 C:J65,S:753 H:63 D:T953 C:QT82,13
Partnership-Blackwood,24,S,2C Pass 2NT Pass 4C Pass 4S Pass 6NT Pass Pass Pass,S:Q63 H:AT7 D:952 C:AT86,S:AK H:KQ4 D:KQJ3 C:KQJ5,S:J94 H:98532 D:A87 C:92,S:T8752 H:J6 D:T64 C:743,6
Partnership-Blackwood,3,N,1NT Pass 4C Pass 4S Pass 6NT Pass Pass Pass,S:A97 H:QJ42 D:KQ86 C:A5,S:KQ H:K6 D:A4 C:KQJ9732,S:J6542 H:987 D:T52 C:64,S:T83 H:AT53 D:J973 C:T8,6
Partnership-Blackwood,4,S,1H Pass 2S Pass 3S Pass 4NT Pass 5H Pass 7NT Pass Pass Pass,S:AKQ643 H:K5 D:K73 C:AK,S:J952 H:AJ743 D:AQ C:98,S:8 H:QT D:J96542 C:QJ32,S:T7 H:9862 D:T8 C:T7654,2
Partnership-Blackwood,5,N,2C Pass 2H Pass 4NT Pass 5D Pass 5H Pass Pass Pass,S:AK2 H:KQ65 D:KQJ C:KJ6,S:J73 H:AJT98 D:832 C:Q8,S:QT65 H:72 D:T95 C:A972,S:984 H:43 D:A764 C:T543,2
Partnership-Blackwood,6,S,1D Pass 2NT Pass 4C Pass 4S Pass 6NT Pass Pass Pass,S:A63 H:KT7 D:A94 C:Q987,S:KQ4 H:A8 D:KQJT73 C:K5,S:T92 H:95432 D:65 C:T32,S:J875 H:QJ6 D:82 C:AJ64,3
Partnership-Blackwood,7,N,1C Pass 2S Pass 3S Pass 4NT Pass 5S Pass 5NT Pass 6C Pass 6S Pass Pass Pass,S:KQ85 H:J63 D:87 C:AQJ4,S:AJ963 H:A4 D:AQJ6 C:K5,S:42 H:52 D:KT9432 C:972,S:T7 H:KQT987 D:5 C:T863,2
Partnership-Blackwood,8,S,2C Pass 2H Pass 3H Pass 3S Pass 4NT Pass 6C Pass 6H Pass Pass Pass,S:A64 H:QJ9874 D:J983 C:,S:KQJ H:AKT D:KQ2 C:KQ73,S:972 H:32 D:T64 C:AT942,S:T853 H:65 D:A75 C:J865,10
Partnership-Blackwood,9,N,1H Pass 4C Pass 4NT Pass 5NT Pass 7H Pass Pass Pass,S:K5 H:AKT753 D:K7 C:J96,S:A842 H:QJ86 D:A9863 C:,S:QJ6 H:92 D:J5 C:K87542,S:T973 H:4 D:QT42 C:AQT3,12
Partnership-Jacoby2NT,1,N,1H Pass 2NT Pass 4H Pass Pass Pass,S:A73 H:QJT82 D:K86 C:Q4,S:K42 H:AK75 D:A2 C:8753,S:T98 H:4 D:T9743 C:AKT9,S:QJ65 H:963 D:QJ5 C:J62,1
Partnership-Jacoby2NT,10,S,1S Pass 2NT Pass 3S Pass 4S Pass Pass Pass,S:KJ75 H:K6 D:KQ98 C:J83,S:AQ9864 H:QJ7 D:J2 C:KQ,S:T3 H:AT84 D:543 C:A975,S:2 H:9532 D:AT76 C:T642,400
Partnership-Jacoby2NT,11,N,1H Pass 2NT Pass 3H Pass 3S Pass 4C Pass 4D Pass 6H Pass Pass Pass,S:KQ H:AJT976 D:97 C:A96,S:A983 H:KQ83 D:AK4 C:72,S:T76 H:5 D:QJT653 C:KQ3,S:J542 H:42 D:82 C:JT854,400
Partnership-Jacoby2NT,12,S,1S Pass 2NT Pass 3NT Pass 4C Pass 4H Pass 4NT Pass 5H Pass 6S Pass Pass Pass,S:K763 H:J83 D:KQ C:AK83,S:AQ984 H:AK4 D:98 C:QJ2,S:J2 H:T962 D:7543 C:754,S:T5 H:Q75 D:AJT62 C:T96,8
Partnership-Jacoby2NT,13,N,1H Pass 3S Pass 4H Pass Pass Pass,S:KQJ H:KQJ84 D:94 C:J65,S:3 H:A953 D:AJT2 C:KQ94,S:AT65 H:76 D:K875 C:A32,S:98742 H:T2 D:Q63 C:T87,13
Partnership-Jacoby2NT,14,N,1H Pass 3S Pass 4C Pass 4D Pass 4NT Pass 5H Pass 6H Pass Pass Pass,S:764 H:KQJ84 D:K4 C:A65,S:3 H:A953 D:AJT2 C:KQ94,S:KT982 H:62 D:Q87 C:JT2,S:AQJ5 H:T7 D:9653 C:873,38
Partnership-Jacoby2NT,15,N,1H Pass 2C Pass 2NT Pass 4H Pass Pass Pass,S:A75 H:QJT76 D:J8 C:KQ3,S:KQ H:AK8 D:7543 C:JT65,S:T8643 H:532 D:92 C:A92,S:J92 H:94 D:AKQT6 C:874,3
Partnership-Jacoby2NT,16,S,1H Pass 2NT Pass 3S Pass 4C Pass 4NT Pass 5H Pass Pass Pass,S:KQJ H:A873 D:62 C:AJ92,S:3 H:KJ9652 D:KQJ C:KQ5,S:9852 H:T4 D:A985 C:864,S:AT764 H:Q D:T743 C:T73,400
Partnership-Jacoby2NT,17,N,1H Pass 2NT Pass 4C Pass 4H Pass Pass Pass,S:6 H:AK972 D:87 C:KQ865,S:AQ9 H:QJ83 D:QJ96 C:J2,S:J873 H:T4 D:K432 C:T43,S:KT542 H:65 D:AT5 C:A97,8
Partnership-Jacoby2NT,18,S,1S Pass 3S Pass 4S Pass Pass Pass,S:QJ84 H:K875 D:AJ4 C:64,S:AK9765 H:J9 D:K75 C:AQ,S:32 H:AQT6 D:9862 C:J75,S:T H:432 D:QT3 C:KT9832,400
Partnership-Jacoby2NT,19,N,1S Pass 2NT Pass 3NT Pass 4D Pass 4H Pass 4NT Pass 5D Pass 5S Pass Pass Pass,S:KQ954 H:AQ8 D:Q97 C:QJ,S:JT863 H:KJ7 D:AK3 C:K5,S:A2 H:T432 D:542 C:T932,S:7 H:965 D:JT86 C:A8764,400
Partnership-Jacoby2NT,2,S,1S Pass 2NT Pass 3NT Pass 4S Pass Pass Pass,S:K854 H:KQ84 D:T52 C:KQ,S:AJT96 H:A62 D:AQ C:T52,S:72 H:T75 D:KJ96 C:9743,S:Q3 H:J93 D:8743 C:AJ86,6
Partnership-Jacoby2NT,20,S,1S Pass 2NT Pass 3S Pass 4C Pass 4H Pass 4S Pass Pass Pass,S:KJ96 H:KQ98 D:Q94 C:A5,S:AQ8752 H:A3 D:J62 C:KQ,S:T4 H:J7 D:T853 C:J7642,S:3 H:T6542 D:AK7 C:T983,400
Partnership-Jacoby2NT,21,N,1H Pass 2S Pass 4NT Pass 5D Pass 6S Pass Pass Pass,S:KJ84 H:AK943 D:A96 C:7,S:AQ963 H:QJ75 D:KQ C:QJ,S:52 H:86 D:753 C:986532,S:T7 H:T2 D:JT842 C:AKT4,400
Partnership-Jacoby2NT,22,S,1S Pass 2NT Pass 4C Pass 4NT Pass 5H Pass 7S,S:K973 H:A42 D:AK82 C:K8,S:AQJ86 H:85 D:3 C:AQ963,S:42 H:JT763 D:T74 C:754,S:T5 H:KQ9 D:QJ965 C:JT2,9
Partnership-Jacoby2NT,23,N,1H Pass 4C Pass 4D Pass 4H Pass 4S Pass 6H Pass Pass Pass,S:A95 H:KQJ72 D:AQ C:964,S:KQJ H:AT93 D:K8754 C:8,S:T842 H:64 D:932 C:AJ52,S:763 H:85 D:JT6 C:KQT73,6
Partnership-Jacoby2NT,24,S,1S Pass 2NT Pass 3C Pass 3H Pass 4NT Pass 5H Pass 6S Pass Pass Pass,S:AJ53 H:A6 D:KJ72 C:874,S:KQ9762 H:KQJ2 D:A8 C:5,S:84 H:94 D:Q65 C:AKT962,S:T H:T8753 D:T943 C:QJ3,400
Partnership-Jacoby2NT,3,N,1S Pass 2NT Pass 3S Pass 4S Pass Pass Pass,S:AJT762 H:KT D:AJ6 C:J4,S:KQ53 H:QJ5 D:KQ C:9732,S:94 H:8742 D:9543 C:AK6,S:8 H:A963 D:T872 C:QT85,1
Partnership-Jacoby2NT,4,S,1S Pass 2NT Pass 3C Pass 3H Pass 4S Pass Pass Pass,S:K9652 H:A76 D:Q5 C:KQ8,S:AQJ743 H:KQJ5 D:J3 C:7,S:T H:942 D:KT9 C:JT9654,S:8 H:T83 D:A87642 C:A32,12
Partnership-Jacoby2NT,5,S,1S Pass 2NT Pass 3C Pass 3D Pass 4NT Pass 5H Pass 6S Pass Pass Pass,S:K9652 H:A76 D:A5 C:Q98,S:AQJ743 H:KQJ5 D:J3 C:7,S:T H:943 D:KT42 C:KJT64,S:8 H:T82 D:Q9876 C:A532,400
Partnership-Jacoby2NT,6,S,1H Pass 2NT Pass 3H Pass 4NT Pass 5H Pass 6H Pass Pass Pass,S:KQ H:K875 D:A9 C:KQT92,S:A5 H:AJT962 D:KQ7 C:63,S:T96432 H:4 D:JT43 C:74,S:J87 H:Q3 D:8652 C:AJ85,400
Partnership-Jacoby2NT,7,N,1S Pass 2NT Pass 3NT Pass 4H Pass 4S Pass Pass Pass,S:AQT64 H:KQJ7 D:KJ C:J5,S:KJ972 H:A95 D:Q5 C:KQT,S:53 H:643 D:AT8643 C:A2,S:8 H:T82 D:972 C:987643,400
Partnership-Jacoby2NT,8,S,1S Pass 2NT Pass 4S Pass Pass Pass,S:A763 H:AQ84 D:94 C:KQ2,S:KQJ85 H:KJ7 D:Q85 C:84,S:T4 H:T52 D:AJ6 C:AJ653,S:92 H:963 D:KT732 C:T97,31
Partnership-Jacoby2NT,9,N,1H Pass 4C Pass 4H Pass Pass Pass,S:Q84 H:AK842 D:4 C:KJ95,S:A765 H:QJT7 D:KQ75 C:4,S:KT9 H:96 D:J82 C:T8632,S:J32 H:53 D:AT963 C:AQ7,45
Partnership-RomanKeyCard,1,N,2C Pass 2NT Pass 3S Pass 4S Pass 4NT Pass 5H Pass 6S Pass Pass Pass,S:KQJ96 H:4 D:KQJ7 C:AKQ,S:A84 H:A873 D:T95 C:752,S:T73 H:QJT2 D:862 C:J43,S:52 H:K965 D:A43 C:T986,9
Partnership-RomanKeyCard,10,S,1NT Pass 3H Pass 4NT Pass 5S Pass 6H Pass Pass Pass,S:A6 H:AQ8752 D:KQ3 C:87,S:KQ3 H:KT93 D:A6 C:KQ96,S:T954 H:64 D:52 C:JT542,S:J872 H:J D:JT9874 C:A3,400
Partnership-RomanKeyCard,11,N,2C Pass 2S Pass 3S Pass 4NT Pass 5D Pass 5H Pass 6C Pass 7NT Pass Pass Pass,S:AQ64 H:AKQ D:A5 C:KJ63,S:KT7532 H:8 D:K86 C:AQ4,S:9 H:J974 D:J9732 C:952,S:J8 H:T6532 D:QT4 C:T87,400
Partnership-RomanKeyCard,12,S,1NT Pass 3S Pass 4S Pass 4NT Pass 5S Pass 6S Pass Pass Pass,S:AK753 H:8 D:KQ72 C:KQ4,S:Q86 H:QJ3 D:AJ5 C:AJ65,S:J2 H:AK754 D:T84 C:T87,S:T94 H:T962 D:963 C:932,3
Partnership-RomanKeyCard,13,N,1NT Pass 3S Pass 4S Pass 4NT Pass 5D Pass 6S Pass Pass Pass,S:K93 H:AT6 D:A9862 C:K9,S:AQJ652 H:K82 D:Q C:A85,S:T4 H:Q943 D:KJ5 C:T642,S:87 H:J75 D:T743 C:QJ73,4
Partnership-RomanKeyCard,14,S,3H Pass 4NT Pass 5H Pass 7NT Pass Pass Pass,S:AK H:QJ3 D:AKQ5 C:A962,S:95 H:AK98742 D:73 C:87,S:QJT73 H:5 D:T84 C:QT53,S:8642 H:T6 D:J962 C:KJ4,400
Partnership-RomanKeyCard,15,N,1S Pass 3S Pass 4NT Pass 5C Pass 5S Pass Pass Pass,S:QT875 H:K6 D:AK3 C:AKJ,S:J9643 H:AQ3 D:Q7 C:Q53,S:A2 H:T82 D:J942 C:T642,S:K H:J9754 D:T865 C:987,400
Partnership-RomanKeyCard,16,S,1D Pass 1H Pass 2NT Pass 4NT Pass Pass Pass,S:KQ5 H:AQ96 D:764 C:K96,S:AJ6 H:K75 D:KQ53 C:AJ5,S:T432 H:J43 D:AT9 C:842,S:987 H:T82 D:J82 C:QT73,1
Partnership-RomanKeyCard,17,N,1H Pass 4C Pass 4NT Pass 6C Pass 6H Pass Pass Pass,S:K5 H:AK9762 D:K8 C:764,S:A972 H:QJ53 D:QJ753 C:,S:Q86 H:8 D:T942 C:AKT82,S:JT43 H:T4 D:A6 C:QJ953,400
Partnership-RomanKeyCard,18,S,1NT Pass 2C Pass 2S Pass 4NT Pass 5S Pass 6S Pass Pass Pass,S:AK63 H:KQT4 D:KQ85 C:2,S:Q982 H:A95 D:A64 C:KQJ,S:JT5 H:763 D:32 C:T9863,S:74 H:J82 D:JT97 C:A754,2
Partnership-RomanKeyCard,19,S,1NT Pass 2C Pass 2S Pass 4NT Pass 5H Pass 5S Pass Pass Pass,S:AK63 H:KQT4 D:KQ85 C:2,S:J982 H:A95 D:AJ4 C:KQJ,S:Q4 H:8763 D:T73 C:8654,S:T75 H:J2 D:962 C:AT973,3
Partnership-RomanKeyCard,2,S,1H Pass 3H Pass 4NT Pass 5D Pass 5H Pass Pass Pass,S:KJ H:QJ85 D:QT97 C:Q42,S:AQ7 H:KT742 D:KJ3 C:AK,S:T982 H:96 D:864 C:J863,S:6543 H:A3 D:A52 C:T975,5
Partnership-RomanKeyCard,20,S,2H Pass 2NT Pass 3NT Pass Pass Pass,S:AK4 H:J95 D:AK76 C:A54,S:732 H:AKQ864 D:53 C:87,S:J965 H:T7 D:QJ98 C:KT3,S:QT8 H:32 D:T42 C:QJ962,7
Partnership-RomanKeyCard,21,N,2C Pass 2D Pass 2S Pass 3S Pass 4NT Pass 5H Pass 6S Pass Pass Pass,S:AQJ862 H:KQ7 D:KQJ C:A,S:K53 H:A952 D:854 C:654,S:94 H:J84 D:976 C:KQ982,S:T7 H:T63 D:AT32 C:JT73,12
Partnership-RomanKeyCard,22,S,2C Pass 2D Pass 2H Pass 3H Pass 4NT Pass 5C Pass 5D Pass 6H Pass Pass Pass,S:A72 H:Q74 D:985 C:9843,S:KQJ5 H:AK652 D:6 C:AKQ,S:984 H:J8 D:KQT74 C:765,S:T63 H:T93 D:AJ32 C:JT2,6
Partnership-RomanKeyCard,23,S,2C Pass 2D Pass 2H Pass 3H Pass 4NT Pass 5C Pass 5D Pass 6H Pass Pass Pass,S:A72 H:J9874 D:85 C:843,S:KQJ5 H:AK652 D:6 C:AKQ,S:T64 H:Q D:AKT932 C:952,S:983 H:T3 D:QJ74 C:JT76,400
Partnership-RomanKeyCard,24,S,1H Pass 2S Pass 3C Pass 3H Pass 4H Pass 4NT Pass 5S Pass 6H Pass Pass Pass,S:AK963 H:AJ75 D:KQ2 C:6,S:85 H:KQ964 D:73 C:AK85,S:QT4 H:32 D:AT5 C:QJ942,S:J72 H:T8 D:J9864 C:T73,9
Partnership-RomanKeyCard,3,N,1H Pass 1S Pass 4S Pass 4NT Pass 5D Pass 6S Pass Pass Pass,S:KT74 H:KQJ84 D:A6 C:A3,S:AQ8632 H:5 D:KQ7 C:KQ5,S:J H:A32 D:T85 C:JT9842,S:95 H:T976 D:J9432 C:76,400
Partnership-RomanKeyCard,4,S,1H Pass 3H Pass 4NT Pass 5S Pass 6H Pass Pass Pass,S:A75 H:QT83 D:A854 C:92,S:6 H:AK9754 D:6 C:KQJT3,S:KJ93 H:J6 D:KT92 C:A65,S:QT842 H:2 D:QJ73 C:874,400
Partnership-RomanKeyCard,5,N,1S Pass 3S Pass 4C Pass 4H Pass 4S Pass Pass Pass,S:AK9842 H:KQT6 D:84 C:A,S:QJ73 H:AJ5 D:T632 C:K4,S:T H:9742 D:AJ5 C:Q9876,S:65 H:83 D:KQ97 C:JT532,400
Partnership-RomanKeyCard,6,S,1H Pass 2D Pass 4NT Pass 5S Pass 6D Pass Pass Pass,S:AJ7 H:J6 D:QJT87 C:A64,S:6 H:KQ872 D:AK963 C:KQ,S:K9853 H:A95 D:42 C:J87,S:QT42 H:T43 D:5 C:T9532,400
Partnership-RomanKeyCard,7,S,1H Pass 2C Pass 4NT Pass 5C Pass Pass Pass,S:KQ7 H:J6 D:A64 C:QJT87,S:6 H:KQ872 D:KQ C:AK963,S:AJT4 H:A9 D:987532 C:2,S:98532 H:T543 D:JT C:54,400
Partnership-RomanKeyCard,8,S,1NT Pass 4C Pass 4S Pass 6S Pass Pass Pass,S:KQJ8752 H:4 D:K6 C:AK5,S:A96 H:QJT3 D:AQJ C:QJ9,S:T3 H:AK86 D:T872 C:T63,S:4 H:9752 D:9543 C:8742,400
Partnership-RomanKeyCard,9,N,2C Pass 2S Pass 4NT Pass 6D Pass 7S Pass Pass Pass,S:AJT5 H:AK D:K5 C:AKQJ4,S:KQ8743 H:Q75 D: C:9762,S:2 H:JT93 D:QJ9743 C:85,S:96 H:8642 D:AT862 C:T3,400
Partnership-StaymanTransfers,1,N,1NT Pass 2C Pass 2D Pass 3NT Pass Pass Pass,S:KQ7 H:AT4 D:K9 C:QJT85,S:AT92 H:Q973 D:AQ4 C:96,S:843 H:KJ6 D:T32 C:K742,S:J65 H:852 D:J8765 C:A3,1
Partnership-StaymanTransfers,10,S,1NT Pass 2H Pass 2S Pass 3NT Pass 4S Pass Pass Pass,S:KQ542 H:87 D:A8 C:Q764,S:A96 H:KQ62 D:K532 C:K8,S:3 H:JT53 D:T974 C:AJ93,S:JT87 H:A94 D:QJ6 C:T52,2
Partnership-StaymanTransfers,11,N,2NT Pass 3D Pass 3H Pass 4NT Pass 5H Pass 6H Pass Pass Pass,S:K86 H:A93 D:KQ8 C:AKJ2,S:74 H:KQJ7542 D:A92 C:9,S:AQ2 H:T6 D:654 C:T8654,S:JT953 H:8 D:JT73 C:Q73,400
Partnership-StaymanTransfers,12,S,1NT Pass 2C Pass 2H Pass 2NT Pass Pass Pass,S:K985 H:Q7 D:K87 C:J965,S:A6 H:KJ53 D:A654 C:KT7,S:Q743 H:A94 D:Q93 C:AQ3,S:JT2 H:T862 D:JT2 C:842,1
Partnership-StaymanTransfers,13,N,1NT Pass 2C Pass 2D Pass 3S Pass 4S Pass Pass Pass,S:A75 H:QJ6 D:AK52 C:QT9,S:K9864 H:AK53 D:J8 C:64,S:T2 H:74 D:QT74 C:AJ875,S:QJ3 H:T982 D:963 C:K32,3
Partnership-StaymanTransfers,14,S,1NT Pass 2C Pass 2S Pass 3S Pass 4S Pass Pass Pass,S:Q865 H:K764 D:A32 C:54,S:AK73 H:QJ2 D:J5 C:KQJ6,S:T42 H:93 D:Q964 C:9872,S:J9 H:AT85 D:KT87 C:AT3,2
Partnership-StaymanTransfers,15,N,1NT Pass 2H Pass 2S Pass 3S Pass 4S Pass Pass Pass,S:KQ H:AQ75 D:KT9 C:QJ84,S:JT8765 H:9 D:AQ5 C:T72,S:94 H:T86432 D:7632 C:5,S:A32 H:KJ D:J84 C:AK963,4
Partnership-StaymanTransfers,16,S,1NT Pass 2C Pass 2D Pass 2H Pass 4H Pass Pass Pass,S:Q742 H:QJT75 D:K6 C:83,S:KJ5 H:AK6 D:AQ2 C:T762,S:A63 H:8 D:T7543 C:KQJ5,S:T98 H:9432 D:J98 C:A94,5
Partnership-StaymanTransfers,17,S,1NT Pass 2C Pass 2S Pass 4S Pass Pass Pass,S:Q742 H:QJT75 D:K7 C:83,S:AKJ5 H:K6 D:AQ62 C:T72,S:3 H:A9843 D:JT83 C:QJ4,S:T986 H:2 D:954 C:AK965,1
Partnership-StaymanTransfers,18,S,1NT Pass 2C Pass 2D Pass 2H Pass 3NT Pass Pass Pass,S:Q742 H:QJT75 D:K7 C:83,S:AK5 H:K6 D:AQ62 C:JT72,S:T3 H:9832 D:9543 C:KQ5,S:J986 H:A4 D:JT8 C:A964,2
Partnership-StaymanTransfers,19,N,1NT Pass 2C Pass 2D Pass 4S Pass Pass Pass,S:KJ H:AK6 D:J953 C:KJ96,S:QT8654 H:Q753 D:7 C:AQ,S:92 H:942 D:KQ6 C:87432,S:A73 H:JT8 D:AT842 C:T5,9
Partnership-StaymanTransfers,2,S,1NT Pass 2H Pass 2S Pass 4S Pass Pass Pass,S:KJ8754 H:86 D:KQ3 C:72,S:QT H:KQ93 D:A52 C:AT86,S:92 H:JT54 D:874 C:K954,S:A63 H:A72 D:JT96 C:QJ3,4
Partnership-StaymanTransfers,20,S,1NT Pass 2D Pass 3H Pass 4C Pass 4D Pass 6H Pass Pass Pass,S:KQ3 H:QT9843 D:K5 C:A5,S:A7 H:KJ65 D:A84 C:KQT8,S:J52 H:A7 D:Q963 C:J942,S:T9864 H:2 D:JT72 C:763,2
Partnership-StaymanTransfers,21,N,1NT Pass 2C Pass 2H Pass 3NT Pass 4S Pass Pass Pass,S:Q965 H:AQ93 D:KQ8 C:A6,S:KJT3 H:K5 D:A93 C:8742,S:A42 H:JT87 D:T642 C:KT,S:87 H:642 D:J75 C:QJ953,4
Partnership-StaymanTransfers,22,S,1NT Pass 2C Pass 2H Pass Pass Pass,S:J974 H:Q862 D:T876 C:4,S:AT6 H:AK74 D:AQ53 C:T9,S:K32 H:J953 D:J C:AJ632,S:Q85 H:T D:K942 C:KQ875,2
Partnership-StaymanTransfers,23,N,1NT Pass 3NT Pass Pass Pass,S:AQ62 H:KJ8 D:A62 C:K87,S:KJ73 H:Q95 D:KT4 C:Q93,S:T95 H:A732 D:J875 C:JT,S:84 H:T64 D:Q93 C:A6542,2
Partnership-StaymanTransfers,24,S,1NT Pass 2H Pass 2S Pass 2NT Pass 4S Pass Pass Pass,S:QT864 H:Q73 D:A6 C:T84,S:KJ7 H:KJ54 D:KQ73 C:A5,S:A92 H:A96 D:JT84 C:Q63,S:53 H:T82 D:952 C:KJ972,11
Partnership-StaymanTransfers,3,N,1NT Pass 2D Pass 2H Pass 4H Pass Pass Pass,S:K75 H:Q93 D:K75 C:AKJ3,S:643 H:AKJ765 D:82 C:Q7,S:A82 H:82 D:QT94 C:9852,S:QJT9 H:T4 D:AJ63 C:T64,4
Partnership-StaymanTransfers,4,S,1NT Pass 2C Pass 2S Pass 2NT Pass 3NT Pass Pass Pass,S:73 H:KQ86 D:K42 C:JT95,S:AK65 H:AT4 D:QJ97 C:K8,S:QJ9 H:J75 D:T853 C:743,S:T842 H:932 D:A6 C:AQ62,8
Partnership-StaymanTransfers,5,N,1NT Pass 2D Pass 2H Pass 3NT Pass Pass Pass,S:KJ4 H:QT D:KQJ6 C:A973,S:A9 H:AJ983 D:752 C:J86,S:Q6532 H:762 D:93 C:Q42,S:T87 H:K54 D:AT84 C:KT5,4
Partnership-StaymanTransfers,6,S,1NT Pass 2H Pass 2S Pass Pass Pass,S:Q87632 H:85 D:954 C:53,S:KJ5 H:A76 D:A83 C:KQ94,S:AT H:KQT9 D:JT62 C:T62,S:94 H:J432 D:KQ7 C:AJ87,5
Partnership-StaymanTransfers,7,N,1NT Pass 2C Pass 2H Pass 4H Pass Pass Pass,S:Q63 H:QT92 D:A76 C:AK3,S:AK72 H:AJ86 D:53 C:T84,S:54 H:K74 D:JT98 C:QJ97,S:JT98 H:53 D:KQ42 C:652,1
Partnership-StaymanTransfers,8,S,2NT Pass 3C Pass 3S Pass 4S Pass Pass Pass,S:K974 H:K862 D:73 C:865,S:AQ82 H:AQ3 D:KT62 C:AQ,S:T53 H:J94 D:QJ94 C:J93,S:J6 H:T75 D:A85 C:KT742,1
Partnership-StaymanTransfers,9,N,1NT Pass 2H Pass 2S Pass 4H Pass 4S Pass Pass Pass,S:AJT H:K9 D:A872 C:AT96,S:Q9874 H:AJT83 D:Q6 C:5,S:K3 H:Q652 D:K943 C:KQ7,S:652 H:74 D:JT5 C:J8432,2
Partnership-TwoClub,1,N,2C Pass 2D Pass 2NT Pass Pass Pass,S:AK9 H:AK2 D:A83 C:AJ74,S:872 H:754 D:J642 C:953,S:Q4 H:QJ96 D:KQT97 C:K6,S:JT653 H:T83 D:5 C:QT82,12
Partnership-TwoClub,10,S,2C Pass 2NT Pass 3NT Pass Pass Pass,S:K63 H:Q85 D:K764 C:953,S:AQ9 H:AK2 D:A83 C:AJ74,S:JT875 H:J76 D:T95 C:86,S:42 H:T943 D:QJ2 C:KQT2,1
Partnership-TwoClub,11,N,2C Pass 2D Pass 2NT Pass 3C Pass 3H Pass 4H Pass Pass Pass,S:AK9 H:AJ82 D:A6 C:AK93,S:QJ72 H:QT75 D:72 C:854,S:654 H:9643 D:QJ9 C:J76,S:T83 H:K D:KT8543 C:QT2,1
Partnership-TwoClub,12,S,2C Pass 2NT Pass 3NT Pass 6NT Pass Pass Pass,S:Q63 H:Q85 D:K764 C:KJ3,S:AK9 H:AK2 D:A83 C:AQ74,S:JT87 H:43 D:QJT95 C:96,S:542 H:JT976 D:2 C:T852,1
Partnership-TwoClub,13,N,2C Pass 2D Pass 2S Pass 2NT Pass 3H Pass 4H Pass Pass Pass,S:AKQ86 H:AKT82 D:A C:86,S:72 H:9753 D:Q742 C:Q93,S:J95 H:J4 D:JT853 C:JT4,S:T43 H:Q6 D:K96 C:AK752,7
Partnership-TwoClub,14,S,2C Pass 3D Pass 3NT Pass 6NT Pass Pass Pass,S:K73 H:982 D:AQJ86 C:J2,S:AQ2 H:AKQ5 D:K75 C:KQT,S:J986 H:J764 D:43 C:643,S:T54 H:T3 D:T92 C:A9875,1
Partnership-TwoClub,15,N,2C Pass 2S Pass 3H Pass 4H Pass 4NT Pass 5H Pass 6H Pass Pass Pass,S:K6 H:AKQJ2 D:KQJ C:KQJ,S:AT972 H:975 D:852 C:A3,S:43 H:43 D:A9643 C:9762,S:QJ85 H:T86 D:T7 C:T854,1
Partnership-TwoClub,16,S,2C Pass 2D Pass 2S Pass 3S Pass 4S Pass Pass Pass,S:J42 H:8752 D:J72 C:K63,S:AKQT3 H:AK6 D:86 C:AQ4,S:96 H:93 D:AKT93 C:J972,S:875 H:QJT4 D:Q54 C:T85,1
Partnership-TwoClub,17,N,2C Pass 2NT Pass 6NT Pass Pass Pass,S:AQ H:KQJ2 D:AQ98 C:AK4,S:KJ72 H:A75 D:J42 C:653,S:T8543 H:T83 D:KT C:T92,S:96 H:964 D:7653 C:QJ87,1
Partnership-TwoClub,18,S,2C Pass 2H Pass 2S Pass 3H Pass 6H Pass Pass,S:7 H:KQJ832 D:986 C:874,S:KQJ82 H:A5 D:AK2 C:AK2,S:T43 H:6 D:JT74 C:JT965,S:A965 H:T974 D:Q53 C:Q3,1
Partnership-TwoClub,19,N,2C Pass 2NT Pass 3C Pass 3S Pass 4S Pass 6S Pass Pass Pass,S:KQ87 H:AKQ2 D:AKJ6 C:6,S:AJT5 H:85 D:Q72 C:KQ53,S:9642 H:974 D:T53 C:A97,S:3 H:JT63 D:984 C:JT842,1
